"slice_pos","pi_slice","id","league_id","league_name","league_abbreviation","season_id","season_name","game_id","game_slug","home_team_id","home_team_name","home_team_location","home_team_nickname","home_team_abbreviation","away_team_id","away_team_name","away_team_location","away_team_nickname","away_team_abbreviation","interval_type","inning","clock_seconds","inning_half","home_team_score","away_team_score","total_score","home_away_score_pair","away_home_score_pair","home_team_outcome","away_team_outcome","is_over","started_at","home_team_final_score","away_team_final_score","r"
452,"82","7a13a9f3-ce99-4c18-91c4-0c71a12d3868","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","47a4ef39-64c8-4837-a767-6fb0a2c514b3","mlb-2018-hou-cle-2018-05-24-1810","c5fefa38-a256-43fe-8147-008c0f8c2f15","Cleveland","Cleveland","Indians","CLE","1dbbb4a3-d8ca-42cb-829f-29551d482645","Houston","Houston","Astros","HOU","regularseason",9,30,"bottom",2,8,10,"28","82","loss","win",FALSE,"2018-05-25 03:10:00+00",2,8,1
453,"53","88e87cf5-fa66-4e82-b24c-f5a39f2eaf1e","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","bb597c88-0c8f-4b20-ac5b-5aaa7eb3c7f2","mlb-2018-det-chc-2018-07-3-1320","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","9ab4bef1-ea26-456b-a018-bf2bde1f6599","Detroit","Detroit","Tigers","DET","regularseason",8,30,"bottom",5,3,8,"53","35","win","loss",FALSE,"2018-07-03 23:20:00+00",5,3,1
454,"49","743d128a-731a-4a25-b3dc-0eddf63cda70","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","10ba82c1-3b6d-4814-b1b9-e04b32e8af3b","mlb-2018-mil-was-2018-09-2-1335","9ebc3cf3-9559-4b74-b8ad-f15f2c5eae71","Washington","Washington","Nationals","WAS","d6c517b0-78de-4834-8d36-b6e63b3224ee","Milwaukee","Milwaukee","Brewers","MIL","regularseason",7,0,"top",4,9,13,"49","94","loss","win",FALSE,"2018-09-02 22:35:00+00",4,9,1
455,"04","5fbc3c2c-c9f3-4102-ab45-d81c8d267ab6","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","02af7e79-7cb2-4f5e-bc24-c43697526aa9","mlb-2017-min-sf-2017-06-9-1915","6c498284-84e6-4e74-9f56-b934be3384d5","San Francisco","San Francisco","Giants","SF","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","regularseason",8,0,"top",0,4,4,"04","40","loss","win",FALSE,"2017-06-10 07:15:00+00",0,4,1
456,"28","f2c204ea-0fa1-4af8-8e8f-57a9cda8e201","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","47a4ef39-64c8-4837-a767-6fb0a2c514b3","mlb-2018-hou-cle-2018-05-24-1810","c5fefa38-a256-43fe-8147-008c0f8c2f15","Cleveland","Cleveland","Indians","CLE","1dbbb4a3-d8ca-42cb-829f-29551d482645","Houston","Houston","Astros","HOU","regularseason",8,30,"bottom",2,8,10,"28","82","loss","win",FALSE,"2018-05-25 03:10:00+00",2,8,1
457,"75","34999a44-25be-43f5-b840-52f5ded2f9ae","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","e5fbdff2-c86b-44f0-89c6-1f60fede1d19","mlb-2017-chc-cin-2017-04-22-1310","84e287b3-8aa1-4cb5-bcce-6a0e8ba97f91","Cincinnati","Cincinnati","Reds","CIN","fdbaa7e1-bfd6-4b94-a0b2-323884d54a11","Chi. Cubs","Chicago","Cubs","CHC","regularseason",2,30,"bottom",5,7,12,"57","75","loss","win",FALSE,"2017-04-22 22:10:00+00",8,12,1
458,"54","2306f79d-e34f-4af1-91b5-893481568f96","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","2306f79d-e34f-4af1-91b5-893481568f96","mlb-2018-det-kc-2018-07-24-1915","8a72ea07-afce-4907-9e6a-13b3f4e9d378","Kansas City","Kansas City","Royals","KC","9ab4bef1-ea26-456b-a018-bf2bde1f6599","Detroit","Detroit","Tigers","DET","regularseason",9,0,"end",5,4,9,"54","45","win","loss",TRUE,"2018-07-25 05:15:00+00",5,4,1
459,"68","28573887-7425-4d58-8b9c-bde1c7a5c991","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","28573887-7425-4d58-8b9c-bde1c7a5c991","mlb-2018-min-tb-2018-04-22-1310","6fb020e3-2ac1-409f-a1d0-5b081ef349a4","Tampa Bay","Tampa Bay","Rays","TB","8256c5cd-476c-4af3-8c26-059b0fd8ddcf","Minnesota","Minnesota","Twins","MIN","regularseason",9,30,"end",8,6,14,"86","68","win","loss",TRUE,"2018-04-22 22:10:00+00",8,6,1
460,"73","30fda762-5948-4b6c-9108-5cb7f88eca83","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","7273bcc6-f05f-42e0-a860-e05c1e943078","2017","59f81cb0-18ab-4144-b048-5cb59e8769dc","mlb-2017-stl-la-2017-05-25-1910","f53d7ed3-1ebe-4e02-979d-6e51c0f5fb18","LA Dodgers","Los Angeles","Dodgers","LA","26345a1d-a856-48be-a53b-262367b5437e","St. Louis","St. Louis","Cardinals","STL","regularseason",7,30,"bottom",7,3,10,"73","37","win","loss",FALSE,"2017-05-26 07:10:00+00",7,3,1
461,"11","159e1a5b-4046-4325-aa0a-3bca9bd5bd0d","cb399a17-e581-4f1a-9535-ea3bcb09fa1f","Major League Baseball","MLB","cc39f607-f6cb-46e4-a854-1388bb481712","2018","f26343a7-f2a5-48fe-8e3d-c15a75a56daa","mlb-2018-sea-tex-2018-04-21-1905","2c14a8f0-577f-490f-9186-cc3742412d1c","Texas","Texas","Rangers","TEX","eeb2db44-7894-483e-a9a7-373fb80d8e91","Seattle","Seattle","Mariners","SEA","regularseason",3,0,"top",1,1,2,"11","11","loss","win",FALSE,"2018-04-22 05:05:00+00",7,9,1
